id,adm,name,class,gender,school,school_id
mock_c255730a_G7A_013,MOCK-C255-G7A-013,"Linet Nyambura Kariuki","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_014,MOCK-C255-G7A-014,"Janet Kipchoge Njoroge","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_015,MOCK-C255-G7A-015,"Brenda Akinyi Kamau","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_016,MOCK-C255-G7A-016,"Charles Njeri Wambui","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_017,MOCK-C255-G7A-017,"Mary Njoroge Maina","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_018,MOCK-C255-G7A-018,"Faith Kariuki Njoroge","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_019,MOCK-C255-G7A-019,"Victor Akinyi Owino","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_020,MOCK-C255-G7A-020,"Victor Mutiso Were","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_021,MOCK-C255-G7A-021,"Samuel Mutua Wafula","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_022,MOCK-C255-G7A-022,"Mary Njoroge Atieno","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_023,MOCK-C255-G7A-023,"Pauline Simiyu Omondi","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_024,MOCK-C255-G7A-024,"Brenda Were Ochieng","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_025,MOCK-C255-G7A-025,"George Otieno Nyambura","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_026,MOCK-C255-G7A-026,"Patrick Mutiso Wairimu","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_027,MOCK-C255-G7A-027,"Lucy Gitau Cheruiyot","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_028,MOCK-C255-G7A-028,"Mary Mbugua Odhiambo","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_029,MOCK-C255-G7A-029,"Linet Adhiambo Omondi","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_030,MOCK-C255-G7A-030,"Lucy Kiplagat Wambui","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_031,MOCK-C255-G7A-031,"Vincent Kipchoge Wambui","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_032,MOCK-C255-G7A-032,"Pauline Gitau Wafula","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_033,MOCK-C255-G7A-033,"Gideon Barasa Juma","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_034,MOCK-C255-G7A-034,"Brayan Mwangi Kipchoge","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_035,MOCK-C255-G7A-035,"Sharon Mutiso Korir","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_036,MOCK-C255-G7A-036,"Peter Onyango Gitau","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_037,MOCK-C255-G7A-037,"Faith Maina Mwangi","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_038,MOCK-C255-G7A-038,"Vincent Auma Onyango","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_039,MOCK-C255-G7A-039,"Ian Karanja Were","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_040,MOCK-C255-G7A-040,"Lucy Nyambura Njoroge","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_041,MOCK-C255-G7A-041,"Caroline Juma Owino","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_042,MOCK-C255-G7A-042,"Felix Rotich Wafula","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_043,MOCK-C255-G7A-043,"Stephen Ochieng Mutua","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_044,MOCK-C255-G7A-044,"Grace Njoroge Gitau","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_045,MOCK-C255-G7A-045,"Esther Nyambura Akinyi","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_046,MOCK-C255-G7A-046,"Janet Kipchoge Wambui","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_047,MOCK-C255-G7A-047,"Daniel Akinyi Odhiambo","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_048,MOCK-C255-G7A-048,"Mercy Wafula Wanjiru","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_049,MOCK-C255-G7A-049,"Mitchelle Were Mwangi","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_050,MOCK-C255-G7A-050,"Anthony Kiplagat Chebet","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_051,MOCK-C255-G7A-051,"Eunice Maina Owino","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_052,MOCK-C255-G7A-052,"Winnie Gitau Otieno","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_053,MOCK-C255-G7A-053,"Elvis Maina Auma","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_054,MOCK-C255-G7A-054,"Brian Owino Atieno","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_055,MOCK-C255-G7A-055,"Grace Nyokabi Mbugua","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_056,MOCK-C255-G7A-056,"Mitchelle Kariuki Adhiambo","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_057,MOCK-C255-G7A-057,"Duncan Mbugua Rotich","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_058,MOCK-C255-G7A-058,"Emmanuel Atieno Mbugua","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_059,MOCK-C255-G7A-059,"Beatrice Ochieng Wairimu","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_060,MOCK-C255-G7A-060,"Duncan Kamau Mbugua","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_001,MOCK-C255-G7B-001,"Stella Kiplagat Kipchoge","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_002,MOCK-C255-G7B-002,"Janet Akinyi Chepkemoi","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_003,MOCK-C255-G7B-003,"Grace Omondi Wafula","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_004,MOCK-C255-G7B-004,"Caroline Nyambura Njeri","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_005,MOCK-C255-G7B-005,"Linet Adhiambo Njoroge","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_006,MOCK-C255-G7B-006,"Nancy Karanja Wambui","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_007,MOCK-C255-G7B-007,"Peter Mutua Mbugua","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_008,MOCK-C255-G7B-008,"Duncan Mutua Juma","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_009,MOCK-C255-G7B-009,"Pauline Chebet Gitau","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_010,MOCK-C255-G7B-010,"Grace Barasa Rotich","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_011,MOCK-C255-G7B-011,"Martin Onyango Cheruiyot","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_012,MOCK-C255-G7B-012,"Felix Wairimu Kipchoge","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_013,MOCK-C255-G7B-013,"Elvis Gitau Wairimu","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_014,MOCK-C255-G7B-014,"Janet Kipchoge Chebet","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_015,MOCK-C255-G7B-015,"Sylvia Mwangi Maina","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_016,MOCK-C255-G7B-016,"Kevin Mwangi Wambui","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_017,MOCK-C255-G7B-017,"Samuel Adhiambo Mbugua","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_018,MOCK-C255-G7B-018,"Duncan Auma Nyambura","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_019,MOCK-C255-G7B-019,"Vincent Njeri Kariuki","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_020,MOCK-C255-G7B-020,"Beatrice Njoroge Wafula","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_021,MOCK-C255-G7B-021,"George Chebet Rotich","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_022,MOCK-C255-G7B-022,"Stephen Korir Rotich","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_023,MOCK-C255-G7B-023,"Allan Chepkemoi Otieno","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_024,MOCK-C255-G7B-024,"Vincent Karanja Mbugua","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_025,MOCK-C255-G7B-025,"Diana Odhiambo Simiyu","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_026,MOCK-C255-G7B-026,"Anthony Wambui Maina","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_027,MOCK-C255-G7B-027,"Victor Nyokabi Mutua","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_028,MOCK-C255-G7B-028,"Ian Wairimu Wanjiru","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_029,MOCK-C255-G7B-029,"Michael Chepkemoi Mwangi","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_030,MOCK-C255-G7B-030,"Dennis Wairimu Omondi","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_031,MOCK-C255-G7B-031,"Mercy Mbugua Wanjiru","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_032,MOCK-C255-G7B-032,"Mitchelle Kiplagat Ochieng","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_033,MOCK-C255-G7B-033,"Ian Njeri Mutua","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_034,MOCK-C255-G7B-034,"Peter Korir Odhiambo","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_035,MOCK-C255-G7B-035,"Kevin Achieng Juma","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_036,MOCK-C255-G7B-036,"Elvis Korir Were","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_037,MOCK-C255-G7B-037,"Beatrice Odhiambo Wairimu","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_038,MOCK-C255-G7B-038,"Maureen Chepkemoi Ochieng","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_039,MOCK-C255-G7B-039,"Stella Odhiambo Juma","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_040,MOCK-C255-G7B-040,"Brian Simiyu Juma","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_041,MOCK-C255-G7B-041,"Charles Chepkemoi Were","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_042,MOCK-C255-G7B-042,"Janet Wairimu Onyango","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_043,MOCK-C255-G7B-043,"Samuel Nyambura Rotich","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_044,MOCK-C255-G7B-044,"Christine Atieno Kibet","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_045,MOCK-C255-G7B-045,"Peter Mutua Karanja","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_046,MOCK-C255-G7B-046,"Caroline Mutiso Kamau","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_047,MOCK-C255-G7B-047,"Kevin Ochieng Ochieng","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_048,MOCK-C255-G7B-048,"Felix Wanjiru Wairimu","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_049,MOCK-C255-G7B-049,"Christine Atieno Kariuki","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_050,MOCK-C255-G7B-050,"Purity Ochieng Barasa","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_051,MOCK-C255-G7B-051,"Michael Gitau Mutiso","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_052,MOCK-C255-G7B-052,"Mercy Were Barasa","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_053,MOCK-C255-G7B-053,"Vincent Chepkemoi Kariuki","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_054,MOCK-C255-G7B-054,"Samuel Auma Mutiso","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_055,MOCK-C255-G7B-055,"Gideon Wanjiru Gitau","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_056,MOCK-C255-G7B-056,"Sylvia Maina Simiyu","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_057,MOCK-C255-G7B-057,"Collins Mutiso Auma","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_058,MOCK-C255-G7B-058,"Daniel Omondi Njoroge","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_059,MOCK-C255-G7B-059,"Esther Omondi Wafula","Grade 7 B",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7B_060,MOCK-C255-G7B-060,"Gideon Kibet Achieng","Grade 7 B",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_001,MOCK-C255-G8A-001,"Emmanuel Mbugua Kipchoge","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_002,MOCK-C255-G8A-002,"Ann Njeri Adhiambo","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_003,MOCK-C255-G8A-003,"Eunice Wanjiru Nyokabi","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_004,MOCK-C255-G8A-004,"George Cheruiyot Maina","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_005,MOCK-C255-G8A-005,"Brenda Adhiambo Achieng","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_006,MOCK-C255-G8A-006,"Faith Mutua Chepkemoi","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_007,MOCK-C255-G8A-007,"Ann Mutua Nyambura","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_008,MOCK-C255-G8A-008,"Duncan Kariuki Akinyi","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_009,MOCK-C255-G8A-009,"Eric Were Kamau","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_010,MOCK-C255-G8A-010,"Ann Were Otieno","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_011,MOCK-C255-G8A-011,"Nancy Were Mutua","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_012,MOCK-C255-G8A-012,"Daniel Cheruiyot Juma","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_013,MOCK-C255-G8A-013,"Nicholas Barasa Owino","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_014,MOCK-C255-G8A-014,"Faith Wairimu Onyango","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_015,MOCK-C255-G8A-015,"Ian Owino Mutua","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_016,MOCK-C255-G8A-016,"Maureen Kiplagat Mwangi","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_017,MOCK-C255-G8A-017,"Elvis Wairimu Omondi","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_018,MOCK-C255-G8A-018,"Joy Rotich Kariuki","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_019,MOCK-C255-G8A-019,"Purity Wairimu Wanjiru","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_020,MOCK-C255-G8A-020,"Felix Rotich Nyokabi","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_021,MOCK-C255-G8A-021,"Kelvin Wairimu Chebet","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_022,MOCK-C255-G8A-022,"Kelvin Wanjiru Wanjiru","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_023,MOCK-C255-G8A-023,"Nancy Njeri Nyokabi","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_024,MOCK-C255-G8A-024,"Allan Nyokabi Karanja","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_025,MOCK-C255-G8A-025,"Daniel Auma Kariuki","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_026,MOCK-C255-G8A-026,"Collins Adhiambo Karanja","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_027,MOCK-C255-G8A-027,"Diana Otieno Chebet","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_028,MOCK-C255-G8A-028,"Samuel Nyambura Maina","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_029,MOCK-C255-G8A-029,"Cynthia Wafula Odhiambo","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_030,MOCK-C255-G8A-030,"Sylvia Kibet Achieng","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_031,MOCK-C255-G8A-031,"Brenda Cheruiyot Maina","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_032,MOCK-C255-G8A-032,"Fredrick Mutua Auma","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_033,MOCK-C255-G8A-033,"Daniel Njoroge Cheruiyot","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_034,MOCK-C255-G8A-034,"Emmanuel Were Kipchoge","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_035,MOCK-C255-G8A-035,"Dennis Atieno Juma","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_036,MOCK-C255-G8A-036,"Elvis Wafula Otieno","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_037,MOCK-C255-G8A-037,"Fredrick Wafula Nyokabi","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_038,MOCK-C255-G8A-038,"Caroline Atieno Cheruiyot","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_039,MOCK-C255-G8A-039,"Brenda Korir Njoroge","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_040,MOCK-C255-G8A-040,"Martin Gitau Wafula","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_041,MOCK-C255-G8A-041,"Sylvia Maina Odhiambo","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_042,MOCK-C255-G8A-042,"Linet Kariuki Omondi","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_043,MOCK-C255-G8A-043,"Joseph Maina Wanjiru","Grade 8 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G8A_044,MOCK-C255-G8A-044,"Doreen Kibet Njoroge","Grade 8 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
